QuestID;InterviewDate;InterviewLengthSec;InterviewStatus;AgeBands;Region;BA01R_KA_1;BA02R_271_PL;BA02R_272_PL;BA02R_273_PL;BA02R_274_PL;BA02R_279_PL;BA02R_280_PL;BA02R_282_PL;BA02R_283_PL;BA02R_284_PL;BA02R_285_PL;SU01R;NPS01R
278;10.04.2020;168;1;5;901;0;0;1;0;0;0;0;1;1;0;0;542;6
279;11.04.2020;141;1;3;906;0;1;0;1;1;0;1;1;0;1;0;549;0
280;07.04.2020;356;1;5;909;0;0;1;0;1;0;1;1;1;1;0;550;0
281;16.04.2020;334;1;2;907;0;1;1;1;1;0;0;0;1;0;0;541;2
282;24.04.2020;119;1;2;907;0;1;1;1;1;0;0;1;0;0;0;541;6
283;09.04.2020;727;1;2;901;0;1;1;1;1;0;0;1;1;0;0;542;9
284;03.04.2020;325;1;5;911;0;0;1;0;1;0;0;1;1;0;0;552;8
285;15.04.2020;284;1;3;907;0;1;1;1;1;0;0;1;1;0;0;541;6
286;07.04.2020;456;1;5;901;0;0;1;0;1;0;0;1;1;0;0;542;7
287;15.04.2020;237;1;2;903;0;0;1;1;1;0;0;1;1;0;0;543;4
288;03.04.2020;385;1;5;916;0;0;1;0;1;1;0;1;0;0;0;544;2
289;15.04.2020;1163;1;3;909;0;1;1;1;1;1;1;1;1;0;0;553;8
290;02.04.2020;385;1;1;901;0;0;1;0;0;1;0;0;0;0;0;542;4
291;06.04.2020;637;1;5;907;0;0;1;1;1;0;0;1;1;0;0;543;1
292;14.04.2020;862;1;3;915;0;0;0;0;1;0;0;1;1;0;0;552;4
293;04.04.2020;321;1;5;910;0;0;1;1;0;1;1;1;1;0;0;543;6
294;21.04.2020;210;1;2;907;0;1;1;1;1;0;0;1;1;0;0;541;2
295;22.04.2020;231;1;3;907;0;1;1;0;1;0;0;1;1;0;0;541;1
296;06.04.2020;1071;1;5;905;0;0;1;1;1;0;1;1;0;0;0;544;4
297;07.04.2020;344;1;5;916;0;0;0;0;1;1;1;1;0;0;0;544;0
298;10.04.2020;203;1;3;908;0;0;1;1;1;0;0;1;1;0;0;542;1
299;03.04.2020;472;1;5;907;0;1;1;1;1;1;1;1;1;0;1;555;0
300;06.04.2020;279;1;5;916;0;0;1;1;1;0;0;1;1;0;0;544;8
301;04.04.2020;558;1;5;902;0;0;1;1;1;1;1;1;1;0;0;552;5
302;06.04.2020;262;1;4;903;0;0;1;1;1;1;1;1;1;0;0;552;4
303;06.04.2020;361;1;5;906;0;0;1;0;1;0;0;0;1;0;0;542;7
304;09.04.2020;332;1;2;910;0;0;1;1;1;1;1;1;1;0;0;543;5
305;02.04.2020;501;1;3;901;0;0;1;0;0;0;0;1;1;0;0;542;6
306;06.04.2020;250;1;1;907;0;0;1;1;0;0;0;1;0;0;0;543;1
